Facelets	Pattern	Solution
DBUFUFDFUBLLLRURUBLRRDFBFLDUUBFDRDDLFUFBLLLDRFDRBBRURB	UUUUUUUUURRRRRRRRRFBFFFFFBFDDDDDDDDDLLLLLLLLLBFBBBBBFB	R L' B' D F' D' F2 R' B2 D B' D2 L2 F2 D F2 R2 F2 U2 B2 D' 
BFRFUBBLBLRFDRBDUUUBDFFRLFFULLDDRFDRDULLLRRLFDDRUBUBBU	UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB	L F2 R F' U2 R F' L F R U F2 D2 R2 U R2 L2 B2 D2 F2 
BFDDURFBRDBLURLBUUDLFRFBDRURURLDLFFFUBLFLDUFBBRLDBDRUL	UDUDUDUDURLRLRLRLRFBFBFBFBFDUDUDUDUDLRLRLRLRLBFBFBFBFB	U D' F' D2 L F2 D2 F' L2 F' R F2 D L2 U B2 U L2 D2 B2 L2 
LRBUULRDRDBLLRBDDUFRFDFURLLBFBUDBBFLFBUDLFURDUFDRBLFUR	RRRRURRRRFFFFRFFFFUUUUFUUUULLLLDLLLLBBBBLBBBBDDDDBDDDD	B2 R B' D2 L2 F' U' B R' L' B L2 D F2 U2 L2 D' R2 D R2 D2 
RBBDUBBRRFLDFRFFRRDUUFFUDFULLLLDBBLBDBRDLRLUFLUFDBRUDU	DDDUUDDUDFFFRRFFRFRRRRFFRFRUUUUDDUDUBLBLLBBBBLLLLBBLBL	U2 R' B2 D R2 F' D2 R' B R2 D L U2 R2 L2 B2 L2 B2 U R2 F2 U' 
FRBUURUDBLBRDRLDFDRBDDFLUFFLULDDLBLRLBFFLRUFBDUUUBRFBR	RRRUUURRRBBBRRRBBBDDDFFFDDDLLLDDLLDLFLFFLLFFFUUUBBUUBU	U B' U R' L2 U B' D R2 F' U2 L U D' F2 U F2 L2 U2 D' R2 
FLURURDBRBDBBRUUUUFLDFFULUFFLRDDRLBRLFRFLLBBDLDUFBDBRD	UUDDUDDUULRLLRLLRLFBBBFBBBFDDUUDUUDDRLRRLRRLRBFFFBFFFB	U2 L U' B2 U' B R U2 F' R' U' L' U' R2 U' R2 U2 F2 D' B2 R2 U' 
BULRUULFRDBDDRLUDRULFFFBLUBDRLFDLURBDBFLLDFRBFFRUBBUDR	UUUUUUUUULLLLRLLLLBBBBFBBBBDDDDDDDDDRRRRLRRRRFFFFBFFFF	U' R L2 F R2 B' D2 R2 L' F U2 B2 L2 D' B2 D' B2 L2 U2 B2 
FFRRULFBDRFBURLFBUDLBRFFDBRBUUDDDLRLRULRLDULLUDDUBFFBB	FFFFUFFFFUUUURUUUURRRRFRRRRBBBBDBBBBDDDDLDDDDLLLLBLLLL	U F2 U R' L B' U' D2 L2 B' L' B2 L2 F2 U' B2 U2 R2 F2 D L2 
DUFBUDBRDBRUFRURRBDFLLFDDLBLFULDURBLFDRDLBUUFLBRFBLURF	RFRFUFRFRFUFURUFUFURURFRURULBLBDBLBLBDBDLDBDBDLDLBLDLD	L2 D' F L U2 B2 R U F2 L' B D L2 D B2 U2 R2 U' L2 U L2 
DRRUURBRURUBDRLUBFDBFBFBLFLDRFFDULLDLFRDLLUDBUDFUBLRFB	UUUUUUUUURRRRRRRRRFBFFFFFBFDDDDDDDDDLLLLLLLLLBFBBBBBFB	F2 B D2 R F' B2 R2 B R L2 F2 D' R2 D' L2 B2 D F2 B2 
BRLFUDLDRFLUFRUFFLFBURFRUUDFBRUDDRRBRLDLLBDLLBUUFBBDDB	UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB	F2 D L F' B' L' F2 D F' U' R U F2 L2 F2 L2 F2 U2 L2 U' R2 
UULFUFDLRFDBBRDBLFLFULFUDDURBRRDDURDFUFLLBBFBDRLRBURBL	UDUDUDUDURLRLRLRLRFBFBFBFBFDUDUDUDUDLRLRLRLRLBFBFBFBFB	B2 U2 D B' R D2 R2 F U B L B2 U D2 R2 U R2 F2 B2 D B2 
DUDUUUDBUFRFRRBRDUBLLUFDUBFBDDFDLUFFRBLFLFBRRLLBRBDRLL	RRRRURRRRFFFFRFFFFUUUUFUUUULLLLDLLLLBBBBLBBBBDDDDBDDDD	R B' R' L' B2 D2 F' D R2 L' D2 F2 D F2 D' B2 D2 B2 L2 F2 
LDRLUDRLFURBRRRRDDBBRFFUUBFLUDUDLLBFUFDFLUBLBUBFFBDLRD	DDDUUDDUDFFFRRFFRFRRRRFFRFRUUUUDDUDUBLBLLBBBBLLLLBBLBL	B2 D2 F2 B2 L F R2 U2 B' U D2 B2 L2 D2 B2 L2 D2 B2 U' 
FUBUUFLBLURRDRFFUDDUFBFRUBDBLRRDLBFFURBLLDLBRDFRLBDLDU	RRRUUURRRBBBRRRBBBDDDFFFDDDLLLDDLLDLFLFFLLFFFUUUBBUUBU	R F2 R D2 R2 U B' R F L2 D L D' L2 U' L2 F2 D L2 U2 B2 
DFRBURUDDLBDRRFUDULLFLFUULFFBRRDRFBRBDBFLUDFLBULDBLBUR	UUDDUDDUULRLLRLLRLFBBBFBBBFDDUUDUUDDRLRRLRRLRBFFFBFFFB	R B U' B2 D F' U2 R' U D2 L D F2 B2 L2 U D R2 U' F2 L2 
RLRUURDLFUFDBRLFRBLFRFFDDLUFULRDUDFLUBFRLULBRBDBBBDUDB	UUUUUUUUULLLLRLLLLBBBBFBBBBDDDDDDDDDRRRRLRRRRFFFFBFFFF	U2 F2 D' F' L' F' B' U B' R' L2 B' U' F2 L2 U B2 D L2 D2 B2 
BBURULRUULFLBRRBFBDFBFFDFRDUULUDRDDUDBFLLDFBRFLRDBURLL	FFFFUFFFFUUUURUUUURRRRFRRRRBBBBDBBBBDDDDLDDDDLLLLBLLLL	F2 R2 F' R L2 U B L' U' D2 F' L2 U R2 D L2 D' R2 L2 U' B2 
LBLLUBUFUBRUURFDLRRLRDFLDFLFRBRDDLBDFBFRLFFDRBUDUBUBDU	RFRFUFRFRFUFURUFUFURURFRURULBLBDBLBLBDBDLDBDBDLDLBLDLD	F L' F2 R2 D F B' U' B U L2 F2 D R2 L2 B2 U' F2 
FUFBUBURDFLRDRFBUFLDRFFLBDDDBLFDLURLLUBFLURDRURULBRDBB	UUUUUUUUURRRRRRRRRFBFFFFFBFDDDDDDDDDLLLLLLLLLBFBBBBBFB	L' B' L' U' F U' D B L' D R' F2 L2 U F2 D' F2 L2 F2 D2 
RURFUDDDFLBBFRULUBFFUDFLDLDRBFBDLBDLFRRULRDRBURUBBFULL	UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB	U' D' R B2 U R2 F2 R' F' L' U' F2 B2 R2 D B2 U2 R2 U2 R2 
