Up	Down	Front	Back	Left	Right	AlgoRep
YELLOW,RED,GREEN,ORANGE,YELLOW,GREEN,WHITE,WHITE,GREEN,	GREEN,GREEN,BLUE,YELLOW,WHITE,BLUE,ORANGE,RED,RED,	BLUE,GREEN,ORANGE,ORANGE,BLUE,BLUE,YELLOW,ORANGE,WHITE,	ORANGE,YELLOW,BLUE,RED,GREEN,YELLOW,WHITE,BLUE,YELLOW,	RED,YELLOW,RED,GREEN,ORANGE,WHITE,BLUE,BLUE,RED,	YELLOW,RED,WHITE,ORANGE,RED,WHITE,ORANGE,WHITE,GREEN,	URBLUBDDBURDLRDLDBFBLLFFULDBBFUDFLRRRURBLDFFRLUFRBUDFU
GREEN,ORANGE,GREEN,WHITE,YELLOW,YELLOW,ORANGE,YELLOW,WHITE,	ORANGE,WHITE,BLUE,RED,WHITE,RED,RED,YELLOW,BLUE,	YELLOW,GREEN,ORANGE,RED,BLUE,BLUE,YELLOW,RED,WHITE,	WHITE,WHITE,YELLOW,ORANGE,GREEN,GREEN,RED,BLUE,WHITE,	RED,GREEN,BLUE,ORANGE,ORANGE,YELLOW,BLUE,BLUE,GREEN,	GREEN,ORANGE,RED,WHITE,RED,BLUE,ORANGE,GREEN,YELLOW,	BLBDUULUDBLRDRFLBUUBLRFFURDLDFRDRRUFRBFLLUFFBDDULBBRFD
YELLOW,ORANGE,BLUE,YELLOW,YELLOW,YELLOW,RED,RED,YELLOW,	YELLOW,RED,GREEN,RED,WHITE,WHITE,WHITE,BLUE,GREEN,	WHITE,BLUE,BLUE,ORANGE,BLUE,BLUE,GREEN,WHITE,RED,	WHITE,GREEN,ORANGE,YELLOW,GREEN,WHITE,WHITE,YELLOW,RED,	BLUE,GREEN,BLUE,BLUE,ORANGE,WHITE,GREEN,GREEN,ORANGE,	RED,ORANGE,ORANGE,ORANGE,RED,RED,YELLOW,GREEN,ORANGE,	ULFUUURRURLLLRRUBLDFFLFFBDRURBRDDDFBFBFFLDBBLDBLUBDDUR
ORANGE,YELLOW,BLUE,GREEN,YELLOW,YELLOW,YELLOW,WHITE,WHITE,	ORANGE,ORANGE,RED,RED,WHITE,GREEN,RED,GREEN,BLUE,	GREEN,BLUE,BLUE,BLUE,BLUE,RED,YELLOW,WHITE,GREEN,	YELLOW,BLUE,GREEN,GREEN,GREEN,ORANGE,YELLOW,ORANGE,WHITE,	WHITE,YELLOW,RED,BLUE,ORANGE,RED,BLUE,YELLOW,GREEN,	ORANGE,ORANGE,RED,WHITE,RED,RED,WHITE,WHITE,ORANGE,	LUFBUUUDDLLRDRRDDLBFFFFRUDBLLRRDBRBFDURFLRFUBUFBBBLULD
YELLOW,WHITE,WHITE,GREEN,YELLOW,RED,WHITE,WHITE,GREEN,	BLUE,WHITE,YELLOW,GREEN,WHITE,BLUE,RED,BLUE,ORANGE,	RED,RED,ORANGE,RED,BLUE,ORANGE,YELLOW,GREEN,RED,	GREEN,ORANGE,RED,YELLOW,GREEN,GREEN,WHITE,YELLOW,WHITE,	GREEN,ORANGE,GREEN,RED,ORANGE,YELLOW,BLUE,YELLOW,ORANGE,	YELLOW,BLUE,ORANGE,BLUE,RED,ORANGE,BLUE,WHITE,BLUE,	UDDBURDDBUFLFRLFDFRRLRFLUBRFDUBDFRFLBLBRLUFULBLRUBBDUD
YELLOW,YELLOW,GREEN,YELLOW,YELLOW,GREEN,YELLOW,WHITE,GREEN,	YELLOW,YELLOW,BLUE,WHITE,WHITE,ORANGE,ORANGE,WHITE,BLUE,	GREEN,GREEN,RED,GREEN,BLUE,RED,BLUE,GREEN,RED,	YELLOW,BLUE,ORANGE,ORANGE,GREEN,BLUE,ORANGE,ORANGE,WHITE,	BLUE,RED,RED,WHITE,ORANGE,ORANGE,GREEN,RED,RED,	WHITE,RED,ORANGE,BLUE,RED,BLUE,WHITE,YELLOW,WHITE,	UUBUUBUDBDRLFRFDUDBBRBFRFBRUUFDDLLDFFRRDLLBRRUFLLBFLLD
GREEN,WHITE,ORANGE,RED,YELLOW,ORANGE,ORANGE,RED,RED,	GREEN,RED,RED,ORANGE,WHITE,YELLOW,RED,WHITE,WHITE,	GREEN,BLUE,BLUE,BLUE,BLUE,YELLOW,YELLOW,WHITE,GREEN,	YELLOW,GREEN,WHITE,YELLOW,GREEN,WHITE,BLUE,BLUE,BLUE,	ORANGE,GREEN,YELLOW,ORANGE,ORANGE,YELLOW,YELLOW,GREEN,RED,	WHITE,BLUE,BLUE,GREEN,RED,ORANGE,WHITE,RED,ORANGE,	BDLRULLRRDFFBRLDRLBFFFFUUDBBRRLDURDDLBULLUUBRUBDUBDFFF
ORANGE,BLUE,RED,YELLOW,YELLOW,ORANGE,GREEN,GREEN,WHITE,	RED,GREEN,BLUE,WHITE,WHITE,YELLOW,GREEN,YELLOW,YELLOW,	WHITE,WHITE,ORANGE,ORANGE,BLUE,ORANGE,BLUE,RED,WHITE,	YELLOW,RED,BLUE,YELLOW,GREEN,WHITE,BLUE,ORANGE,YELLOW,	YELLOW,RED,RED,BLUE,ORANGE,GREEN,ORANGE,RED,WHITE,	GREEN,BLUE,GREEN,WHITE,RED,GREEN,ORANGE,BLUE,RED,	LFRUULBBDBFBDRBLFRDDLLFLFRDRBFDDUBUUURRFLBLRDURFUBDFLU
YELLOW,GREEN,GREEN,RED,YELLOW,WHITE,GREEN,ORANGE,BLUE,	YELLOW,BLUE,WHITE,WHITE,WHITE,ORANGE,GREEN,ORANGE,YELLOW,	ORANGE,BLUE,WHITE,WHITE,BLUE,BLUE,BLUE,YELLOW,ORANGE,	WHITE,YELLOW,ORANGE,ORANGE,GREEN,RED,RED,WHITE,YELLOW,	BLUE,YELLOW,WHITE,GREEN,ORANGE,RED,ORANGE,BLUE,RED,	RED,GREEN,RED,RED,RED,YELLOW,BLUE,GREEN,GREEN,	UBBRUDBLFRBRRRUFBBLFDDFFFULUFDDDLBLUFUDBLRLFRDULLBRRDU
BLUE,RED,RED,YELLOW,YELLOW,BLUE,YELLOW,RED,WHITE,	BLUE,YELLOW,ORANGE,ORANGE,WHITE,WHITE,GREEN,GREEN,GREEN,	GREEN,WHITE,ORANGE,RED,BLUE,GREEN,ORANGE,BLUE,YELLOW,	WHITE,BLUE,RED,WHITE,GREEN,GREEN,ORANGE,YELLOW,WHITE,	YELLOW,ORANGE,RED,WHITE,ORANGE,YELLOW,RED,GREEN,WHITE,	GREEN,ORANGE,BLUE,RED,RED,BLUE,BLUE,ORANGE,YELLOW,	FRRUUFURDBLFRRFFLUBDLRFBLFUFULLDDBBBULRDLURBDDFRDBBLUD
YELLOW,ORANGE,WHITE,BLUE,YELLOW,GREEN,GREEN,RED,RED,	YELLOW,WHITE,RED,ORANGE,WHITE,YELLOW,BLUE,YELLOW,WHITE,	YELLOW,YELLOW,WHITE,GREEN,BLUE,ORANGE,RED,BLUE,WHITE,	GREEN,GREEN,BLUE,RED,GREEN,RED,BLUE,ORANGE,ORANGE,	RED,RED,ORANGE,WHITE,ORANGE,YELLOW,YELLOW,WHITE,GREEN,	GREEN,WHITE,ORANGE,BLUE,RED,GREEN,BLUE,BLUE,ORANGE,	ULDFUBBRRBDLFRBFFLUUDBFLRFDUDRLDUFUDRRLDLUUDBBBFRBRFLL
YELLOW,ORANGE,ORANGE,ORANGE,YELLOW,RED,BLUE,GREEN,GREEN,	WHITE,RED,RED,BLUE,WHITE,GREEN,YELLOW,YELLOW,ORANGE,	YELLOW,RED,RED,WHITE,BLUE,WHITE,RED,BLUE,YELLOW,	WHITE,BLUE,GREEN,GREEN,GREEN,WHITE,WHITE,BLUE,BLUE,	ORANGE,YELLOW,RED,RED,ORANGE,ORANGE,ORANGE,WHITE,BLUE,	WHITE,YELLOW,GREEN,GREEN,RED,YELLOW,GREEN,ORANGE,BLUE,	ULLLURFBBDUBBRUBLFURRDFDRFUDRRFDBUULLURRLLLDFDFBBBDDFF
GREEN,WHITE,GREEN,WHITE,YELLOW,RED,BLUE,BLUE,RED,	GREEN,YELLOW,ORANGE,WHITE,WHITE,YELLOW,RED,ORANGE,WHITE,	ORANGE,ORANGE,BLUE,GREEN,BLUE,YELLOW,RED,BLUE,GREEN,	ORANGE,ORANGE,YELLOW,YELLOW,GREEN,WHITE,BLUE,GREEN,BLUE,	RED,BLUE,YELLOW,RED,ORANGE,RED,YELLOW,GREEN,WHITE,	WHITE,BLUE,WHITE,RED,RED,ORANGE,YELLOW,GREEN,ORANGE,	BDBDURFFRDFDRRLUBLLLFBFURFBBULDDURLDRFURLRUBDLLUUBDFBF
WHITE,RED,YELLOW,YELLOW,YELLOW,WHITE,WHITE,GREEN,RED,	ORANGE,BLUE,YELLOW,YELLOW,WHITE,ORANGE,RED,RED,YELLOW,	ORANGE,ORANGE,GREEN,BLUE,BLUE,WHITE,GREEN,YELLOW,RED,	BLUE,WHITE,GREEN,YELLOW,GREEN,RED,GREEN,GREEN,WHITE,	RED,RED,BLUE,BLUE,ORANGE,WHITE,BLUE,ORANGE,WHITE,	YELLOW,ORANGE,ORANGE,GREEN,RED,GREEN,BLUE,BLUE,ORANGE,	DRUUUDDBRULLBRBFFLLLBFFDBURLFUUDLRRURRFFLDFLDFDBUBRBBD
GREEN,WHITE,ORANGE,ORANGE,YELLOW,RED,YELLOW,BLUE,RED,	RED,WHITE,GREEN,ORANGE,WHITE,YELLOW,GREEN,GREEN,ORANGE,	RED,ORANGE,BLUE,ORANGE,BLUE,YELLOW,GREEN,BLUE,ORANGE,	BLUE,GREEN,RED,WHITE,GREEN,RED,BLUE,YELLOW,YELLOW,	WHITE,WHITE,BLUE,BLUE,ORANGE,GREEN,ORANGE,YELLOW,YELLOW,	WHITE,GREEN,WHITE,RED,RED,RED,WHITE,BLUE,YELLOW,	BDLLURUFRDBDRRRDFURLFLFUBFLRDBLDUBBLDDFFLBLUUFBRDBRFUU
RED,RED,RED,YELLOW,YELLOW,RED,YELLOW,YELLOW,GREEN,	WHITE,GREEN,WHITE,ORANGE,WHITE,GREEN,ORANGE,ORANGE,ORANGE,	RED,ORANGE,RED,BLUE,BLUE,RED,ORANGE,YELLOW,ORANGE,	YELLOW,GREEN,BLUE,WHITE,GREEN,RED,BLUE,BLUE,GREEN,	WHITE,BLUE,BLUE,YELLOW,ORANGE,WHITE,YELLOW,WHITE,GREEN,	WHITE,WHITE,GREEN,BLUE,RED,GREEN,BLUE,ORANGE,YELLOW,	RRRUURUUBDDBFRBFLURLRFFRLULDBDLDBLLLDFFULDUDBUBFDBRFFB
ORANGE,BLUE,RED,ORANGE,YELLOW,YELLOW,GREEN,GREEN,ORANGE,	GREEN,YELLOW,BLUE,ORANGE,WHITE,GREEN,ORANGE,BLUE,WHITE,	WHITE,WHITE,YELLOW,WHITE,BLUE,BLUE,YELLOW,ORANGE,ORANGE,	BLUE,RED,WHITE,YELLOW,GREEN,RED,RED,ORANGE,WHITE,	BLUE,WHITE,RED,GREEN,ORANGE,RED,GREEN,GREEN,RED,	GREEN,BLUE,YELLOW,WHITE,RED,RED,YELLOW,YELLOW,BLUE,	LFRLUUBBLBFUDRRUUFDDUDFFULLBUFLDBLFDFDRBLRBBRFRDUBRRLD
BLUE,RED,RED,GREEN,YELLOW,GREEN,WHITE,WHITE,YELLOW,	WHITE,YELLOW,YELLOW,BLUE,WHITE,RED,ORANGE,YELLOW,BLUE,	RED,ORANGE,BLUE,ORANGE,BLUE,GREEN,ORANGE,GREEN,BLUE,	YELLOW,WHITE,WHITE,BLUE,GREEN,BLUE,ORANGE,ORANGE,GREEN,	RED,RED,GREEN,RED,ORANGE,BLUE,YELLOW,YELLOW,GREEN,	RED,ORANGE,GREEN,WHITE,RED,WHITE,ORANGE,YELLOW,WHITE,	FRRBUBDDURLBDRDLUDRLFLFBLBFDUUFDRLUFRRBRLFUUBUDDFBFLLB
WHITE,GREEN,YELLOW,BLUE,YELLOW,BLUE,WHITE,BLUE,YELLOW,	YELLOW,YELLOW,GREEN,BLUE,WHITE,RED,WHITE,WHITE,ORANGE,	ORANGE,RED,RED,WHITE,BLUE,GREEN,BLUE,ORANGE,WHITE,	BLUE,WHITE,RED,GREEN,GREEN,RED,YELLOW,RED,GREEN,	BLUE,YELLOW,BLUE,GREEN,ORANGE,ORANGE,ORANGE,WHITE,RED,	GREEN,ORANGE,ORANGE,ORANGE,RED,YELLOW,RED,YELLOW,GREEN,	DBUFUFDFUBLLLRURUBLRRDFBFLDUUBFDRDDLFUFBLLLDRFDRBBRURB
GREEN,BLUE,RED,BLUE,YELLOW,GREEN,GREEN,ORANGE,GREEN,	YELLOW,ORANGE,ORANGE,WHITE,WHITE,RED,BLUE,WHITE,RED,	YELLOW,GREEN,WHITE,BLUE,BLUE,RED,ORANGE,BLUE,BLUE,	WHITE,WHITE,RED,YELLOW,GREEN,YELLOW,GREEN,GREEN,YELLOW,	WHITE,YELLOW,ORANGE,ORANGE,ORANGE,RED,RED,ORANGE,BLUE,	ORANGE,RED,BLUE,WHITE,RED,GREEN,WHITE,YELLOW,YELLOW,	BFRFUBBLBLRFDRBDUUUBDFFRLFFULLDDRFDRDULLLRRLFDDRUBUBBU
GREEN,BLUE,WHITE,WHITE,YELLOW,RED,BLUE,GREEN,RED,	RED,YELLOW,RED,ORANGE,WHITE,ORANGE,BLUE,BLUE,BLUE,	WHITE,ORANGE,BLUE,RED,BLUE,GREEN,WHITE,RED,YELLOW,	GREEN,RED,ORANGE,WHITE,GREEN,WHITE,RED,YELLOW,ORANGE,	YELLOW,GREEN,ORANGE,BLUE,ORANGE,WHITE,YELLOW,BLUE,GREEN,	WHITE,GREEN,ORANGE,YELLOW,RED,ORANGE,GREEN,YELLOW,YELLOW,	BFDDURFBRDBLURLBUUDLFRFBDRURURLDLFFFUBLFLDUFBBRLDBDRUL
ORANGE,RED,GREEN,YELLOW,YELLOW,ORANGE,RED,WHITE,RED,	GREEN,BLUE,GREEN,YELLOW,WHITE,GREEN,GREEN,BLUE,ORANGE,	BLUE,RED,BLUE,WHITE,BLUE,YELLOW,RED,ORANGE,ORANGE,	YELLOW,BLUE,WHITE,RED,GREEN,ORANGE,BLUE,YELLOW,RED,	BLUE,GREEN,YELLOW,WHITE,ORANGE,BLUE,YELLOW,RED,WHITE,	WHITE,GREEN,ORANGE,ORANGE,RED,GREEN,WHITE,WHITE,YELLOW,	LRBUULRDRDBLLRBDDUFRFDFURLLBFBUDBBFLFBUDLFURDUFDRBLFUR
RED,GREEN,GREEN,WHITE,YELLOW,GREEN,GREEN,RED,RED,	ORANGE,ORANGE,ORANGE,ORANGE,WHITE,GREEN,GREEN,ORANGE,GREEN,	WHITE,YELLOW,YELLOW,BLUE,BLUE,YELLOW,WHITE,BLUE,YELLOW,	ORANGE,YELLOW,BLUE,WHITE,GREEN,RED,YELLOW,WHITE,YELLOW,	WHITE,GREEN,RED,WHITE,ORANGE,RED,ORANGE,YELLOW,BLUE,	BLUE,ORANGE,WHITE,BLUE,RED,BLUE,BLUE,RED,RED,	RBBDUBBRRFLDFRFFRRDUUFFUDFULLLLDBBLBDBRDLRLUFLUFDBRUDU
BLUE,RED,GREEN,YELLOW,YELLOW,RED,YELLOW,WHITE,GREEN,	ORANGE,YELLOW,ORANGE,WHITE,WHITE,ORANGE,GREEN,ORANGE,RED,	RED,GREEN,WHITE,WHITE,BLUE,ORANGE,YELLOW,BLUE,BLUE,	WHITE,YELLOW,YELLOW,YELLOW,GREEN,RED,BLUE,GREEN,RED,	ORANGE,GREEN,BLUE,BLUE,ORANGE,RED,YELLOW,BLUE,GREEN,	ORANGE,GREEN,RED,WHITE,RED,ORANGE,WHITE,BLUE,WHITE,	FRBUURUDBLBRDRLDFDRBDDFLUFFLULDDLBLRLBFFLRUFBDUUUBRFBR
BLUE,ORANGE,YELLOW,RED,YELLOW,RED,WHITE,GREEN,RED,	BLUE,ORANGE,RED,WHITE,WHITE,RED,ORANGE,GREEN,RED,	BLUE,ORANGE,WHITE,BLUE,BLUE,YELLOW,ORANGE,YELLOW,BLUE,	ORANGE,WHITE,YELLOW,BLUE,GREEN,WHITE,GREEN,RED,WHITE,	ORANGE,BLUE,RED,BLUE,ORANGE,ORANGE,GREEN,GREEN,WHITE,	GREEN,WHITE,GREEN,GREEN,RED,YELLOW,YELLOW,YELLOW,YELLOW,	FLURURDBRBDBBRUUUUFLDFFULUFFLRDDRLBRLFRFLLBBDLDUFBDBRD
GREEN,YELLOW,ORANGE,RED,YELLOW,YELLOW,ORANGE,BLUE,RED,	WHITE,RED,ORANGE,BLUE,WHITE,ORANGE,YELLOW,RED,GREEN,	YELLOW,ORANGE,BLUE,BLUE,BLUE,GREEN,ORANGE,YELLOW,GREEN,	BLUE,BLUE,RED,YELLOW,GREEN,GREEN,YELLOW,WHITE,RED,	WHITE,GREEN,BLUE,ORANGE,ORANGE,WHITE,BLUE,RED,GREEN,	WHITE,GREEN,WHITE,WHITE,RED,ORANGE,YELLOW,WHITE,RED,	BULRUULFRDBDDRLUDRULFFFBLUBDRLFDLURBDBFLLDFRBFFRUBBUDR
BLUE,BLUE,RED,RED,YELLOW,ORANGE,BLUE,GREEN,WHITE,	GREEN,YELLOW,YELLOW,WHITE,WHITE,WHITE,ORANGE,RED,ORANGE,	WHITE,ORANGE,GREEN,RED,BLUE,BLUE,WHITE,GREEN,RED,	YELLOW,WHITE,WHITE,YELLOW,GREEN,BLUE,BLUE,GREEN,GREEN,	RED,YELLOW,ORANGE,RED,ORANGE,WHITE,YELLOW,ORANGE,ORANGE,	RED,BLUE,GREEN,YELLOW,RED,ORANGE,BLUE,GREEN,YELLOW,	FFRRULFBDRFBURLFBUDLBRFFDBRBUUDDDLRLRULRLDULLUDDUBFFBB
WHITE,YELLOW,BLUE,GREEN,YELLOW,WHITE,GREEN,RED,WHITE,	ORANGE,BLUE,YELLOW,ORANGE,WHITE,YELLOW,RED,GREEN,ORANGE,	WHITE,BLUE,ORANGE,ORANGE,BLUE,WHITE,WHITE,ORANGE,GREEN,	ORANGE,GREEN,RED,BLUE,GREEN,ORANGE,YELLOW,RED,BLUE,	BLUE,WHITE,RED,WHITE,ORANGE,GREEN,YELLOW,YELLOW,BLUE,	GREEN,RED,YELLOW,BLUE,RED,YELLOW,RED,RED,GREEN,	DUFBUDBRDBRUFRURRBDFLLFDDLBLFULDURBLFDRDLBUUFLBRFBLURF
WHITE,RED,RED,YELLOW,YELLOW,RED,GREEN,RED,YELLOW,	WHITE,RED,BLUE,BLUE,WHITE,YELLOW,ORANGE,ORANGE,WHITE,	WHITE,GREEN,BLUE,GREEN,BLUE,GREEN,ORANGE,BLUE,ORANGE,	YELLOW,WHITE,BLUE,YELLOW,GREEN,ORANGE,RED,BLUE,GREEN,	ORANGE,BLUE,RED,WHITE,ORANGE,ORANGE,YELLOW,WHITE,GREEN,	RED,YELLOW,GREEN,WHITE,RED,ORANGE,YELLOW,GREEN,BLUE,	DRRUURBRURUBDRLUBFDBFBFBLFLDRFFDULLDLFRDLLUDBUDFUBLRFB
GREEN,RED,ORANGE,BLUE,YELLOW,WHITE,ORANGE,WHITE,RED,	BLUE,GREEN,RED,YELLOW,WHITE,WHITE,RED,RED,GREEN,	BLUE,GREEN,YELLOW,RED,BLUE,RED,YELLOW,YELLOW,WHITE,	GREEN,YELLOW,YELLOW,BLUE,GREEN,GREEN,WHITE,WHITE,GREEN,	RED,ORANGE,WHITE,ORANGE,ORANGE,GREEN,WHITE,ORANGE,ORANGE,	BLUE,ORANGE,YELLOW,BLUE,RED,YELLOW,BLUE,BLUE,ORANGE,	BRLFUDLDRFLUFRUFFLFBURFRUUDFBRUDDRRBRLDLLBDLLBUUFBBDDB
YELLOW,YELLOW,ORANGE,BLUE,YELLOW,BLUE,WHITE,ORANGE,RED,	RED,GREEN,RED,RED,WHITE,WHITE,YELLOW,RED,WHITE,	ORANGE,BLUE,YELLOW,ORANGE,BLUE,YELLOW,WHITE,WHITE,YELLOW,	WHITE,RED,ORANGE,RED,GREEN,YELLOW,RED,GREEN,ORANGE,	BLUE,YELLOW,BLUE,ORANGE,ORANGE,GREEN,GREEN,BLUE,GREEN,	BLUE,WHITE,GREEN,GREEN,RED,WHITE,GREEN,ORANGE,BLUE,	UULFUFDLRFDBBRDBLFLFULFUDDURBRRDDURDFUFLLBBFBDRLRBURBL
WHITE,YELLOW,WHITE,YELLOW,YELLOW,YELLOW,WHITE,GREEN,YELLOW,	GREEN,WHITE,WHITE,BLUE,WHITE,ORANGE,YELLOW,BLUE,BLUE,	GREEN,ORANGE,ORANGE,YELLOW,BLUE,WHITE,YELLOW,GREEN,BLUE,	ORANGE,ORANGE,GREEN,RED,GREEN,WHITE,RED,ORANGE,ORANGE,	RED,GREEN,ORANGE,BLUE,ORANGE,BLUE,GREEN,RED,RED,	BLUE,RED,BLUE,RED,RED,GREEN,RED,WHITE,YELLOW,	DUDUUUDBUFRFRRBRDUBLLUFDUBFBDDFDLUFFRBLFLFBRRLLBRBDRLL
