Cube	Twist	Flip	Parity	FRtoBR	URFtoDLF	URtoDF	URtoUL	UBtoDF	CornerPermutation	CornerOrientation	EdgePermutation	EdgeOrientation
UDLFUBLRFRDDLRFDBDBBDDFUUUBFRRLDUFFLBLUFLRRBLFLRUBDBRU	2023	1584	0	7402	2005	655817	1193	960	DFR,ULB,UBR,DLF,DRB,UFL,URF,DBL	2,2,0,2,2,2,1,1	DB,BR,FL,DL,UB,UR,BL,FR,UL,DR,DF,UF	1,1,0,0,0,1,1,0,0,0,0,0
URBLUBDDBURDLRDLDBFBLLFFULDBBFUDFLRRRURBLDFFRLUFRBUDFU	799	458	1	8624	2752	531794	152	1286	ULB,DFR,URF,DBL,DLF,UBR,UFL,DRB	1,0,0,2,1,2,1,2	BR,DB,UL,UR,DF,BL,UF,FR,FL,DL,UB,DR	0,0,1,1,1,0,0,1,0,1,0,1
BLBDUULUDBLRDRFLBUUBLRFFURDLDFRDRRUFRBFLLUFFBDDULBBRFD	448	214	0	1091	17708	133897	633	402	DBL,UFL,UBR,DRB,DLF,ULB,DFR,URF	0,1,2,1,1,2,1,1	UL,UB,DB,DL,BR,DR,FR,UF,DF,UR,BL,FL	0,0,0,1,1,0,1,0,1,1,0,1
ULFUUURRURLLLRRUBLDFFLFFBDRURBRDDDFBFBFFLDBBLDBLUBDDUR	288	698	1	6715	590	547897	1119	792	URF,DFR,UFL,DLF,UBR,ULB,DRB,DBL	0,1,0,1,2,0,0,2	UL,FR,UB,BL,DB,DR,BR,UF,FL,DL,DF,UR	0,1,0,1,0,1,1,1,0,1,0,0
LUFBUUUDDLLRDRRDDLBFFFFRUDBLLRRDBRBFDURFLRFUBUFBBBLULD	133	373	1	26	13913	24829	141	350	DLF,UBR,DBL,URF,DRB,ULB,DFR,UFL	0,0,1,1,2,2,1,2	UL,DF,UB,UF,DB,DL,UR,BL,DR,FR,FL,BR	0,0,1,0,1,1,1,0,1,0,1,0
UDDBURDDBUFLFRLFDFRRLRFLUBRFDUBDFRFLBLBRLUFULBLRUBBDUD	736	1118	0	10037	16572	468247	1249	166	ULB,DRB,UBR,DBL,URF,UFL,DFR,DLF	1,0,0,0,0,2,1,2	FR,DR,BL,DL,DF,DB,UB,UF,FL,UR,BR,UL	1,0,0,0,1,0,1,1,1,1,0,0
UUBUUBUDBDRLFRFDUDBBRBFRFBRUUFDDLLDFFRRDLLBRRUFLLBFLLD	775	69	0	7979	8752	165600	54	840	DRB,UBR,UFL,ULB,DFR,URF,DBL,DLF	1,0,0,1,2,0,1,1	BR,DB,UR,UF,UL,UB,DR,DL,FR,BL,DF,FL	0,0,0,0,1,0,0,0,1,0,1,1
BDLRULLRRDFFBRLDRLBFFFFUUDBBRRLDURDDLBULLUUBRUBDUBDFFF	1430	1842	1	11805	13727	509410	1230	496	DFR,ULB,DBL,UFL,DRB,UBR,URF,DLF	1,2,2,1,2,2,2,0	FL,FR,BR,DB,UR,DR,BL,DF,UB,UF,DL,UL	1,1,1,0,0,1,1,0,0,1,0,0
LFRUULBBDBFBDRBLFRDDLLFLFRDRBFDDUBUUURRFLBLRDURFUBDFLU	364	1542	1	9693	19826	560148	258	1300	DBL,DRB,UFL,UBR,DLF,DFR,ULB,URF	0,1,1,1,1,1,1,0	FL,DB,UR,FR,UF,BR,DR,UL,DL,BL,DF,UB	1,1,0,0,0,0,0,0,1,1,0,0
UBBRUDBLFRBRRRUFBBLFDDFFFULUFDDDLBLUFUDBLRLFRDULLBRRDU	1972	1001	1	5980	17017	445486	1062	617	DFR,DBL,UFL,DRB,DLF,URF,ULB,UBR	2,2,0,1,0,0,1,0	DB,FL,UR,UB,BL,UF,DF,DL,FR,DR,BR,UL	0,1,1,1,1,1,0,1,0,0,1,1
FRRUUFURDBLFRRFFLUBDLRFBLFUFULLDDBBBULRDLURBDDFRDBBLUD	121	667	1	9577	9354	457247	579	1123	DBL,UBR,URF,DFR,UFL,DLF,DRB,ULB	0,0,1,1,1,1,1,1	FL,DR,UL,FR,DL,UF,BL,UB,BR,UR,DB,DF	0,1,0,1,0,0,1,1,0,1,1,0
ULDFUBBRRBDLFRBFFLUUDBFLRFDUDRLDUFUDRRLDLUUDBBBFRBRFLL	1712	1687	0	4445	17362	279792	252	968	DRB,ULB,URF,DBL,DFR,UBR,UFL,DLF	2,1,0,0,1,0,2,0	DB,UR,FR,BL,UF,DF,DL,UL,FL,UB,DR,BR	1,1,0,1,0,0,1,0,1,1,1,1
ULLLURFBBDUBBRUBLFURRDFDRFUDRRFDBUULLURRLLLDFDFBBBDDFF	1008	1456	0	7042	17377	554819	221	1299	DRB,URF,ULB,DBL,UBR,DFR,UFL,DLF	1,1,0,1,1,0,0,2	UR,BR,UL,FL,BL,FR,DF,UF,DB,DL,DR,UB	1,0,1,1,0,1,1,0,0,0,0,1
BDBDURFFRDFDRRLUBLLLFBFURFBBULDDURLDRFURLRUBDLLUUBDFBF	1454	1032	1	10992	10118	577669	1189	770	DFR,UFL,UBR,DBL,ULB,DRB,URF,DLF	1,2,2,2,2,1,2,0	FR,FL,DF,DL,UB,UF,DB,BL,UR,BR,DR,UL	1,0,0,0,0,0,0,1,0,0,0,0
DRUUUDDBRULLBRBFFLLLBFFDBURLFUUDLRRURRFFLDFLDFDBUBRBBD	733	235	0	6071	11125	445650	192	1228	UBR,DLF,DRB,UFL,URF,DBL,DFR,ULB	1,0,0,0,0,1,1,0	DL,BL,UR,DR,FL,UF,UL,BR,DB,DF,FR,UB	0,0,0,1,1,1,0,1,0,1,1,0
BDLLURUFRDBDRRRDFURLFLFUBFLRDBLDUBBLDDFFLBLUUFBRDBRFUU	886	1307	0	10858	14151	422994	454	1148	DFR,URF,DRB,DLF,DBL,UBR,ULB,UFL	1,0,1,2,2,1,1,1	BR,FL,DL,DB,UF,DF,UL,UB,UR,BL,FR,DR	1,0,1,0,0,0,1,1,0,1,1,0
RRRUURUUBDDBFRBFLURLRFFRLULDBDLDBLLLDFFULDUDBUBFDBRFFB	839	1215	1	2745	12825	246191	735	565	DRB,URF,DFR,UBR,DLF,DBL,ULB,UFL	1,0,1,1,0,0,2,1	DR,UL,UF,BR,BL,UB,DL,FL,FR,DF,UR,DB	1,0,0,1,0,1,1,1,1,1,1,0
LFRLUUBBLBFUDRRUUFDDUDFFULLBUFLDBLFDFDRBLRBBRFRDUBRRLD	1942	853	1	2093	8258	485804	1054	701	ULB,DRB,DLF,URF,UFL,UBR,DBL,DFR	2,1,2,2,2,2,1,0	UF,DB,DL,FR,UB,UL,BL,FL,DF,DR,BR,UR	0,1,1,0,1,0,1,0,1,0,1,0
FRRBUBDDURLBDRDLUDRLFLFBLBFDUUFDRLUFRRBRLFUUBUDDFBFLLB	191	214	1	9997	11578	372280	324	1069	URF,DRB,DFR,UBR,UFL,DBL,ULB,DLF	0,0,2,1,0,0,2,1	BL,DL,BR,DR,UR,UB,UF,UL,DB,FL,FR,DF	0,0,0,1,1,0,1,0,1,1,0,1
DBUFUFDFUBLLLRURUBLRRDFBFLDUUBFDRDDLFUFBLLLDRFDRBBRURB	9	465	1	10897	6025	372031	109	1155	UBR,DLF,DFR,UFL,DRB,URF,DBL,ULB	0,0,0,0,1,0,0,2	FL,FR,UF,DB,UR,UL,DF,DR,BL,DL,BR,UB	0,0,1,1,1,0,1,0,0,0,1,1
BFRFUBBLBLRFDRBDUUUBDFFRLFFULLDDRFDRDULLLRRLFDDRUBUBBU	1828	996	0	11217	19101	571261	769	1179	DBL,ULB,DRB,DFR,DLF,UFL,URF,UBR	2,1,1,1,2,0,1,1	BR,BL,UF,DF,UR,FL,DL,DB,DR,FR,UL,UB	0,1,1,1,1,1,0,0,1,0,0,0
BFDDURFBRDBLURLBUUDLFRFBDRURURLDLFFFUBLFLDUFBBRLDBDRUL	1070	1118	0	11600	10333	327602	296	984	DFR,DLF,ULB,DBL,UBR,DRB,UFL,URF	1,1,1,0,1,2,2,1	BR,BL,DB,FR,UL,UR,FL,UF,UB,DR,DF,DL	1,0,0,0,1,0,1,1,1,1,0,0
LRBUULRDRDBLLRBDDUFRFDFURLLBFBUDBBFLFBUDLFURDUFDRBLFUR	1427	1225	1	9626	9835	141870	498	517	DFR,URF,DLF,ULB,DBL,DRB,UBR,UFL	1,2,2,1,2,1,2,1	BL,DR,UB,FR,DB,FL,UR,UF,UL,DF,DL,BR	1,0,0,1,1,0,0,1,0,0,1,1
RBBDUBBRRFLDFRFFRRDUUFFUDFULLLLDBBLBDBRDLRLUFLUFDBRUDU	1852	697	1	9181	17154	581775	437	1278	URF,DRB,DFR,DBL,UFL,DLF,ULB,UBR	2,1,1,2,1,2,1,2	BL,UR,DB,UB,BR,FL,UL,DL,UF,FR,DR,DF	0,1,0,1,0,1,1,1,0,0,1,0
FRBUURUDBLBRDRLDFDRBDDFLUFFLULDDLBLRLBFFLRUFBDUUUBRFBR	1673	1229	1	8938	17712	445476	1068	611	DBL,URF,UFL,DRB,DLF,ULB,UBR,DFR	2,0,2,1,2,2,2,1	BR,DB,UB,UR,FL,UF,DF,BL,DL,DR,FR,UL	1,0,0,1,1,0,0,1,1,0,1,0
FLURURDBRBDBBRUUUUFLDFFULUFFLRDDRLBRLFRFLLBBDLDUFBDBRD	1642	1504	1	7270	9292	576667	1079	889	DRB,DFR,UFL,ULB,URF,DLF,DBL,UBR	2,0,2,0,2,1,1,1	DR,BL,FR,DL,UR,UL,DB,BR,UB,FL,DF,UF	1,0,1,1,1,1,0,0,0,0,0,1
BULRUULFRDBDDRLUDRULFFFBLUBDRLFDLURBDBFLLDFRBFFRUBBUDR	1125	366	0	7337	11260	458533	1069	630	DFR,UFL,DRB,DLF,ULB,DBL,URF,UBR	1,1,1,2,2,0,0,2	UB,FL,BR,UF,DL,UR,FR,DR,DB,DF,BL,UL	0,0,1,0,1,1,0,1,1,1,0,0
FFRRULFBDRFBURLFBUDLBRFFDBRBUUDDDLRLRULRLDULLUDDUBFFBB	440	1422	0	10986	12395	484894	1170	584	DRB,DLF,DFR,UBR,URF,DBL,ULB,UFL	0,1,2,1,0,2,2,1	FL,BL,UR,DF,DB,UB,DL,BR,UF,DR,FR,UL	1,0,1,1,0,0,0,1,1,1,0,0
DUFBUDBRDBRUFRURRBDFLLFDDLBLFULDURBLFDRDLBUUFLBRFBLURF	305	787	1	5732	20009	389459	1109	355	DBL,DRB,DFR,UFL,UBR,DLF,URF,ULB	0,1,0,2,0,2,2,2	DR,FR,DB,UB,UR,FL,UL,BR,DF,BL,DL,UF	0,1,1,0,0,0,1,0,0,1,1,1
DRRUURBRURUBDRLUBFDBFBFBLFLDRFFDULLDLFRDLLUDBUDFUBLRFB	290	1725	0	5718	11872	339824	996	175	URF,DRB,DLF,UBR,UFL,DBL,ULB,DFR	0,1,0,1,2,0,2,0	UR,BR,UF,DR,UB,FR,DF,FL,DB,BL,DL,UL	1,1,0,1,0,1,1,1,1,0,1,0
BRLFUDLDRFLUFRUFFLFBURFRUUDFBRUDDRRBRLDLLBDLLBUUFBBDDB	2177	174	1	3117	333	372573	1103	296	URF,DLF,UBR,ULB,DFR,UFL,DRB,DBL	2,2,2,2,1,2,2,2	DL,DB,FL,UR,DF,UB,UL,DR,FR,BR,BL,UF	0,0,0,1,0,1,0,1,1,1,0,1
UULFUFDLRFDBBRDBLFLFULFUDDURBRRDDURDFUFLLBBFBDRLRBURBL	1500	1850	0	5493	10436	566061	751	1160	URF,DLF,UFL,DBL,UBR,DRB,ULB,DFR	2,0,0,1,1,2,0,0	DF,FL,UF,UR,DL,DB,FR,BR,UB,BL,UL,DR	1,1,1,0,0,1,1,1,0,1,0,1
DUDUUUDBUFRFRRBRDUBLLUFDUBFBDDFDLUFFRBLFLFBRRLLBRBDRLL	6	64	1	5426	18272	293877	527	900	UFL,DBL,DRB,DLF,DFR,UBR,ULB,URF	0,0,0,0,0,2,0,1	UR,BL,UB,UL,DL,DB,FR,FL,DR,UF,DF,BR	0,0,0,0,1,0,0,0,0,0,0,1
LDRLUDRLFURBRRRRDDBBRFFUUBFLUDUDLLBFUFDFLUBLBUBFFBDLRD	1330	834	1	7223	8018	313952	710	781	URF,DRB,UFL,UBR,DFR,ULB,DBL,DLF	1,2,1,1,0,2,1,1	DR,BL,FL,DB,DL,UB,UL,BR,UR,UF,DF,FR	0,1,1,0,1,0,0,0,0,1,0,0
FUBUUFLBLURRDRFFUDDUFBFRUBDBLRRDLBFFURBLLDLBRDFRLBDLDU	1096	638	1	8659	16641	38790	54	473	UFL,DBL,URF,DRB,DFR,UBR,ULB,DLF	1,1,1,1,1,2,1,1	FR,UB,UR,UF,UL,BL,BR,DF,DR,DB,DL,FL	0,1,0,0,1,1,1,1,1,1,0,1
DFRBURUDDLBDRRFUDULLFLFUULFFBRRDRFBRBDBFLUDFLBULDBLBUR	80	1499	0	8672	16064	505499	691	1141	DLF,ULB,DBL,DRB,URF,UFL,DFR,UBR	0,0,0,2,2,2,2,1	BR,DL,DB,UF,DR,BL,FR,UB,UR,UL,FL,DF	1,0,1,1,1,0,1,1,0,1,1,0
RLRUURDLFUFDBRLFRBLFRFFDDLUFULRDUDFLUBFRLULBRBDBBBDUDB	879	1690	0	11060	6814	280619	593	863	URF,DLF,UBR,DRB,UFL,DFR,DBL,ULB	1,0,1,2,1,2,0,2	FR,FL,UB,DL,UR,UL,BR,DF,DB,UF,DR,BL	1,1,0,1,0,0,1,1,0,1,0,0
BBURULRUULFLBRRBFBDFBFFDFRDUULUDRDDUDBFLLDFBRFLRDBURLL	333	1346	1	10790	14373	627669	787	1247	ULB,DFR,DRB,UFL,DBL,URF,DLF,UBR	0,1,1,0,1,0,0,0	FL,UF,BR,BL,FR,UR,UB,DL,DB,DF,UL,DR	1,0,1,0,1,0,0,0,0,1,0,0
LBLLUBUFUBRUURFDLRRLRDFLDFLFRBRDDLBDFBFRLFFDRBUDUBUBDU	241	444	0	11818	1865	658658	1310	612	UBR,URF,DLF,ULB,DBL,DFR,UFL,DRB	0,0,2,2,2,2,1,0	BR,FL,BL,UB,DL,FR,DR,DB,UL,DF,UR,UF	0,0,1,1,0,1,1,1,1,0,0,0
FUFBUBURDFLRDRFBUFLDRFFLBDDDBLFDLURLLUBFLURDRURULBRDBB	198	895	1	8028	9387	68339	563	133	DFR,ULB,UFL,URF,DBL,DRB,UBR,DLF	0,0,2,1,1,0,0,2	BL,DR,UB,UR,UL,DB,DF,BR,DL,UF,FR,FL	0,1,1,0,1,1,1,1,1,1,1,1
RURFUDDDFLBBFRULUBFFUDFLDLDRBFBDLBDLFRRULRDRBURUBBFULL	1664	69	1	3835	5727	610769	779	1215	UFL,DFR,URF,UBR,DLF,DRB,DBL,ULB	2,0,2,1,1,2,2,2	DB,DF,FR,UR,UL,BL,BR,DL,FL,DR,UF,UB	0,0,0,0,1,0,0,0,1,0,1,1
DBRDULBFBUDUDRRULLDRLLFRLBRFUBUDUDDFBFRBLFRFDFLLUBRUBF	1047	1031	1	6437	18508	396955	1107	410	ULB,DRB,DBL,URF,UBR,DLF,DFR,UFL	1,1,0,2,2,1,0,2	DL,FR,DF,BL,UL,UB,UF,DB,DR,FL,BR,UR	1,0,0,0,0,0,0,0,1,1,1,0
URBLUBFDUBRRLRFLULRLRBFFLDDBFFLDRFFBRBDBLUUUUDDFRBDDUL	527	506	1	10017	2741	100541	329	586	UBR,DFR,URF,DRB,DLF,ULB,UFL,DBL	0,2,0,1,1,1,2,2	BR,DL,BL,DR,UR,DF,UL,UF,FL,UB,DB,FR	0,0,1,1,1,1,1,1,0,1,0,1
BUULURRDFRURFRBUFUBLDDFLFBFDRRBDRUULLBDRLFBULBFDDBDFLL	2124	1396	1	4318	18563	284324	228	977	DFR,DRB,DBL,UBR,URF,DLF,ULB,UFL	2,2,2,0,2,0,0,1	UR,DL,BL,UF,FR,BR,UB,UL,FL,DF,DR,DB	1,0,1,0,1,1,1,0,1,0,0,0
FURBUDLRRUBDFRLBDFBUBFFRUDDRRLDDFULLRUUBLULLFBLDBBRDFF	1446	879	0	69	13052	64605	533	113	UBR,ULB,DFR,DRB,DBL,URF,UFL,DLF	1,2,2,2,1,2,0,2	DB,UR,UB,UL,DF,DR,DL,FL,FR,UF,BR,BL	0,1,1,0,1,1,0,1,1,1,1,0
LLRDUBUBBURBBRBLRRRLLLFUBFDDRFFDUULFDFFDLULURUDBDBRDFF	846	187	1	11264	11350	312620	618	902	ULB,URF,DBL,UBR,DLF,DRB,UFL,DFR	1,0,1,1,1,0,0,2	BR,BL,DF,DL,UR,FR,UF,FL,UB,UL,DR,DB	0,0,0,1,0,1,1,1,0,1,1,0
FDRUUBBBLDRBDRLFFFDUBLFRBURURUFDRFFUDLRFLBDLLUBLDBDLUR	1082	622	0	9054	19673	225368	284	894	DBL,DRB,DLF,UBR,URF,ULB,DFR,UFL	1,1,1,1,0,0,2,0	BR,UB,UL,DB,FR,UR,FL,UF,DR,BL,DF,DL	0,1,0,0,1,1,0,1,1,1,0,0
FBBDULLFRUBRLRLDFUDRBBFFUURLLFUDDDBLURBFLRFRBDURDBUFDL	1104	1192	0	10922	17279	166064	842	55	UBR,DBL,URF,DRB,DFR,ULB,DLF,UFL	1,1,1,1,2,2,0,1	BL,FR,DR,UB,DF,UL,UR,DB,FL,BR,UF,DL	1,0,0,1,0,1,0,1,0,0,0,0
LLBDURRDURBDLRLRULBBFBFDDBBFUUFDRLFFBRDFLLDDRLUUFBRUUF	710	1241	0	7928	17161	20110	266	193	URF,DRB,ULB,DBL,UBR,DFR,DLF,UFL	0,2,2,2,0,2,2,2	BR,DB,DR,UL,UR,UB,DF,UF,DL,BL,FR,FL	1,0,0,1,1,0,1,1,0,0,1,0
LFFDUBLRDLLDURLBDFDUFLFFFDUUBRRDRDBUBLBRLUBBRRDUFBFLUR	468	766	0	8172	8094	132034	678	267	DLF,DBL,ULB,DFR,UBR,URF,DRB,UFL	0,1,2,2,1,0,0,0	BL,UR,DL,DF,DR,DB,BR,UB,UF,UL,FR,FL	0,1,0,1,1,1,1,1,1,1,0,0
FBUDUBBRBUURLRRUFLDBLLFDRFFDLRFDRFUBDBRRLUUDFBLLUBDDFL	1073	1650	1	7040	3930	641128	1252	815	ULB,DRB,DLF,UBR,URF,DFR,UFL,DBL	1,1,1,0,2,0,2,2	UB,BR,DB,BL,FR,FL,DF,UF,DL,UL,DR,UR	1,1,0,0,1,1,1,0,0,1,0,0
ULBFURBDBDDDFRRBFFUBRLFUFRURBRUDDDLURRLLLFFBDLDFUBULBL	1038	1162	0	3711	17884	583450	1312	160	DRB,ULB,URF,DBL,UBR,DFR,DLF,UFL	1,1,0,2,1,1,0,0	DR,DB,FR,DL,DF,BR,UB,BL,UF,FL,UL,UR	1,0,0,1,0,0,0,1,0,1,0,0
DUBBUFLFFLRLDRBBLRDUUDFLLRRFBDDDURRUFLBFLRBFDUBRDBLFUU	1732	525	0	10339	14988	92702	256	617	UFL,DBL,DFR,ULB,DRB,DLF,UBR,URF	2,1,0,1,0,1,1,0	FR,UF,BL,UB,UL,BR,DF,UR,DL,DR,FL,DB	0,1,0,0,0,0,0,1,1,0,1,0
BRDFUUUUULBFDRDDDFRLBUFRLBBUDRFDLBLDRRFBLFDLFLUUFBRRBL	182	205	1	3432	6310	474590	530	1158	ULB,URF,UBR,DLF,DRB,UFL,DBL,DFR	0,0,2,0,2,0,2,0	UB,UL,FR,UR,DL,DB,FL,BL,DR,UF,BR,DF	0,0,0,1,1,0,0,1,1,0,1,1
DBRLUFFUBDLFBRFLBLLFRFFUBLBRUDDDDFUULDUBLRRRUDLFDBRBRU	1246	257	0	9316	15395	420568	280	1195	DRB,UFL,DLF,DFR,DBL,UBR,URF,ULB	1,2,0,1,0,1,1,0	FL,UF,DL,BL,DB,UL,DR,UR,UB,FR,BR,DF	0,0,1,0,0,0,0,0,0,0,1,0
LLURULDUDLBLURBBRFRFFRFLFRURBRFDDBBRDFBFLULDDFDBUBLUDU	94	1439	0	10342	18194	493582	682	1108	DLF,DRB,DBL,UFL,UBR,DFR,ULB,URF	0,0,1,0,1,1,1,2	BL,UF,FR,DL,DR,BR,DF,DB,UL,UR,FL,UB	1,0,1,1,0,0,1,1,1,1,1,0
UFLRULBLUBUBBRFRDFDFRBFLFUFLRDDDRBBLRFRBLULLUDDFUBDDRU	274	2022	1	7293	16650	432280	1052	561	UBR,DRB,URF,DBL,DFR,UFL,ULB,DLF	0,1,0,1,0,1,1,2	UL,FL,FR,DF,DR,UR,DL,BR,BL,UB,DB,UF	1,1,1,1,1,1,0,0,1,1,0,0
BRRLUFBFFLRFDRUDLURDUFFRULFRDLRDUDBBLFULLUBUFDBDBBBLDR	2157	926	0	10652	7685	493406	620	1167	UFL,UBR,DBL,DFR,DLF,URF,DRB,ULB	2,2,2,1,2,2,0,1	FR,DF,FL,BR,UL,DL,UR,DB,DR,UF,BL,UB	0,1,1,1,0,0,1,1,1,1,0,1
DRDUUBRRLBLLRRLUFDUFULFBFDLULFDDUDBBFRBDLUFFRBDRFBBRUL	1719	683	0	10894	2233	93470	552	322	ULB,UBR,DFR,DBL,UFL,URF,DLF,DRB	2,1,0,0,2,0,0,1	BL,FR,UR,DR,UF,DL,DF,UB,BR,UL,DB,FL	0,1,0,1,0,1,0,1,0,1,1,0
LLFLUBRURDLUFRDRURUBFRFULBDDRBRDRLDUBUBDLDDFBLFUBBFFLF	1199	499	0	9767	10017	296648	386	942	DFR,UBR,ULB,UFL,DRB,DBL,DLF,URF	1,1,2,2,1,0,2,0	BL,UB,UL,FL,UR,BR,FR,DL,UF,DR,DF,DB	0,0,1,1,1,1,1,0,0,1,1,1
LLBRUFUBBUURURDLLRBDLRFBBLFLUUDDFRRFFDRRLFUFDDBDLBBDUF	923	1934	0	2571	10525	54598	274	442	ULB,UBR,DLF,DRB,UFL,DBL,URF,DFR	1,0,2,1,0,1,2,2	UF,DB,DR,BL,FL,UL,DF,UR,UB,FR,BR,DL	1,1,1,1,0,0,0,1,1,1,0,1
FLLUUULLULBDRRFUFDUDBBFBBFRLRBBDURDBURFDLLFDDFURLBRRFD	400	689	0	423	1251	169115	59	851	ULB,UFL,URF,DLF,UBR,DBL,DFR,DRB	0,1,1,2,2,1,1,1	UB,DL,UR,UL,UF,FR,DB,DF,BR,BL,DR,FL	0,1,0,1,0,1,1,0,0,0,1,1
FURFUDBUDFLBFRBDRDUBRBFRULBFFRBDULDFUULRLRBDLULRLBDLFD	376	276	1	429	5806	169834	58	857	DFR,ULB,URF,UBR,DRB,UFL,DBL,DLF	0,1,1,1,2,2,1,1	DL,UB,UF,UL,UR,FL,DB,DF,FR,BR,DR,BL	0,0,1,0,0,0,1,0,1,0,0,1
BFFBUFUBFDRDDRDFRDBRLFFBBDUDLLBDUUFLUURLLLFLRRDLRBUBUR	873	428	1	11103	933	546102	870	1025	DLF,UBR,ULB,DFR,UFL,DRB,URF,DBL	1,0,1,2,1,0,0,1	FR,BR,UB,DF,UR,DL,BL,UF,DB,FL,UL,DR	0,0,1,1,0,1,0,1,1,0,0,1
UFFDUULUUBFRLRFLDUDLRRFBBRDDUFDDFFBLLLBRLDDBRURBLBBFUR	281	74	1	1723	12038	82516	64	656	UBR,DBL,ULB,URF,DLF,DRB,DFR,UFL	0,1,0,1,1,0,2,1	UF,UL,DL,FR,DF,UR,DB,UB,BL,DR,BR,FL	0,0,0,0,1,0,0,1,0,1,0,1
DDRBUUBUFUBFURLBRFDFRRFRFFULLRDDBLULBDRLLFUFUDRLDBBDLB	1013	294	0	1375	18058	47302	472	138	URF,DRB,DBL,DFR,UBR,UFL,ULB,DLF	1,1,0,1,1,1,2,2	UB,UF,DB,DR,BR,FL,DF,UL,UR,FR,BL,DL	0,0,1,0,0,1,0,0,1,1,0,0
